hip,proper,ra,dec,mag,dist,spect,ci,con,bayer
93466,,19.035288,52.261058,6.35,214.1328,G8III:...,0.983,Dra,
93470,,19.035698,-41.910505,6.21,123.9157,A0V,0.001,CrA,
93488,,19.039324,8.373539,6.25,373.1343,K2III,1.648,Aql,
93498,,19.041022,-24.846826,5.63,78.9889,K2III,1.232,Sgr,
93506,Ascella,19.043532,-29.880105,2.6,27.0416,A3IV,0.062,Sgr,Zet
93523,,19.04795,19.661011,6.11,246.9136,K1III,1.317,Sge,
93526,,19.048472,-3.698987,5.4,153.1394,A1V,-0.005,Aql,
93537,,19.051057,-19.245686,5.96,606.0606,K0II/III,1.158,Sgr,
93542,,19.051907,-42.095105,4.74,59.2066,A0Vn,-0.027,CrA,Zet
93543,,19.051944,-19.103024,6.37,80.2568,F5V,0.48,Sgr,
93552,,19.054915,-38.253147,5.73,68.4932,F2III/IV,0.328,CrA,
93574,,19.058242,-68.755544,5.89,56.3063,F8V,0.553,Pav,
93580,,19.058959,1.818768,5.82,54.8847,A4V,0.182,Aql,
93624,,19.065985,-51.018604,5.93,99.8004,K0/K1III,1.236,Tel,
93629,,19.066947,-57.959962,6.3,211.8644,G6II/III,0.857,Pav,
93666,,19.073376,-5.684843,6.48,362.3188,C5II,2.3,Aql,
93667,,19.073627,-31.047079,5.49,147.0588,A0V,0.026,Sgr,
93683,,19.07805,-21.741496,3.76,43.554,K0III,1.012,Sgr,Omi
93713,,19.081991,53.396654,5.4,111.1111,A0Vn,-0.014,Dra,
93717,,19.082687,-4.03142,5.4,88.7311,K1III,1.12,Aql,
93718,,19.082741,31.744072,5.63,189.7533,M0III,1.548,Lyr,
93720,,19.082857,30.733396,6.07,198.0198,M2III,1.575,Lyr,
93733,,19.086067,49.923166,6.45,185.1852,K3III,1.348,Dra,
93747,Okab,19.090169,13.863478,2.99,25.4582,A0Vn,0.014,Aql,Zet
93763,,19.094772,-15.660419,5.93,219.2982,B8IIIsp...,-0.015,Sgr,
